"","predicted.Sub_cell_type","predicted.Sub_cell_type_organ","predicted.Main_cell_type.score","predicted.Sub_cell_type.score","predicted.Sub_cell_type_organ.score","mapping.score","Azimuth.Pansci.Class","Azimuth.Pansci.Subclass","Azimuth.Cortex.Class","Azimuth.Cortex.Subclass","RNA.class_label","RNA.class_name","RNA.class_bootstrapping_probability","RNA.subclass_label","RNA.subclass_name","RNA.subclass_bootstrapping_probability","RNA.supertype_label","RNA.supertype_name","RNA.supertype_bootstrapping_probability","RNA.cluster_label","RNA.cluster_name","RNA.cluster_alias","RNA.cluster_bootstrapping_probability","mCG.class_label","mCG.class_name","mCG.class_bootstrapping_probability","mCG.subclass_label","mCG.subclass_name","mCG.subclass_bootstrapping_probability","mCG.supertype_label","mCG.supertype_name","mCG.supertype_bootstrapping_probability","mCG.cluster_label","mCG.cluster_name","mCG.cluster_alias","mCG.cluster_bootstrapping_probability","Brainmap.RNA.Class","Brainmap.RNA.Subclass","Brainmap.mCG.Class","Brainmap.mCG.Subclass","seurat_clusters","cell_type"
"20230125-Yang-KO-Het-F-C1-P2-C08_S32_B5","Striatal neurons 1_13","Striatal neurons 1_13_Brain",0.857377150751908,0.191307075141953,0.191307075141953,0.900217609112582,"Striatal neurons 1","Striatal neurons 1_13","GABAergic","L5 ET","CS20230722_CLAS_09","09 CNU-LGE GABA",0.39,"CS20230722_SUBC_061","061 STR D1 Gaba",0.49,"CS20230722_SUPT_0273","0273 STR D1 Gaba_9",0.47,"CS20230722_CLUS_0964","0964 STR D1 Gaba_9",1082,0.47,"CS20230722_CLAS_24","24 MY Glut",0.93,"CS20230722_SUBC_261","261 HB Calcb Chol",1,"CS20230722_SUPT_1027","1027 HB Calcb Chol_3",0.94,"CS20230722_CLUS_4603","4603 HB Calcb Chol_3",8956,0.94,"09 CNU-LGE GABA","243 PGRN-PARN-MDRN Hoxb5 Glut","24 MY Glut","261 HB Calcb Chol","7","L5 ET"
"20230125-Yang-KO-Het-F-C1-P2-C08_S32_B6","Cortical projection neurons 1_3","Cortical projection neurons 1_3_Brain",0.724560670963306,0.200275263270862,0.200275263270862,0.961403980065532,"Cortical projection neurons 2","Cortical projection neurons 1_3","Glutamatergic","L6 CT","CS20230722_CLAS_02","02 NP-CT-L6b Glut",1,"CS20230722_SUBC_030","030 L6 CT CTX Glut",1,"CS20230722_SUPT_0115","0115 L6 CT CTX Glut_2",1,"CS20230722_CLUS_0441","0441 L6 CT CTX Glut_2",57,1,"CS20230722_CLAS_08","08 CNU-MGE GABA",0.7,"CS20230722_SUBC_057","057 NDB-SI-MA-STRv Lhx8 Gaba",1,"CS20230722_SUPT_0249","0249 NDB-SI-MA-STRv Lhx8 Gaba_6",0.46,"CS20230722_CLUS_0900","0900 NDB-SI-MA-STRv Lhx8 Gaba_6",825,0.46,"02 NP-CT-L6b Glut","030 L6 CT CTX Glut","24 MY Glut","261 HB Calcb Chol","10","L6 CT"
"20230125-Yang-KO-Het-F-C1-P2-C08_S32_B7","Cortical projection neurons 1_21","Cortical projection neurons 1_21_Brain",0.516215628038128,0.480038693703104,0.480038693703104,0.984257658844945,"Cortical projection neurons 2","Cortical projection neurons 1_3","Glutamatergic","L6 CT","CS20230722_CLAS_23","23 P Glut",0.74,"CS20230722_SUBC_220","220 PB Pax5 Glut",0.98,"CS20230722_SUPT_0904","0904 PB Pax5 Glut_1",0.62,"CS20230722_CLUS_3969","3969 PB Pax5 Glut_1",4296,0.62,"CS20230722_CLAS_24","24 MY Glut",0.55,"CS20230722_SUBC_261","261 HB Calcb Chol",1,"CS20230722_SUPT_1029","1029 HB Calcb Chol_5",0.74,"CS20230722_CLUS_4605","4605 HB Calcb Chol_5",8958,0.74,"02 NP-CT-L6b Glut","030 L6 CT CTX Glut","24 MY Glut","261 HB Calcb Chol","10","L6 CT"
"20230125-Yang-KO-Het-F-C1-P2-C08_S32_B8","Interbrain and midbrain neurons 2_1","Interbrain and midbrain neurons 2_1_Brain",0.831237359071799,0.385388721643384,0.385388721643384,0.977126118917708,"Cortical projection neurons 1","Cortical projection neurons 1_16","Glutamatergic","L5 IT","CS20230722_CLAS_24","24 MY Glut",0.9,"CS20230722_SUBC_243","243 PGRN-PARN-MDRN Hoxb5 Glut",1,"CS20230722_SUPT_0974","0974 PGRN-PARN-MDRN Hoxb5 Glut_2",1,"CS20230722_CLUS_4347","4347 PGRN-PARN-MDRN Hoxb5 Glut_2",24414,1,"CS20230722_CLAS_09","09 CNU-LGE GABA",0.57,"CS20230722_SUBC_061","061 STR D1 Gaba",0.95,"CS20230722_SUPT_0268","0268 STR D1 Gaba_4",0.44,"CS20230722_CLUS_0953","0953 STR D1 Gaba_4",1090,0.44,"01 IT-ET Glut","243 PGRN-PARN-MDRN Hoxb5 Glut","24 MY Glut","261 HB Calcb Chol","0","L5 IT"
"20230125-Yang-KO-Het-F-C1-P2-C08_S32_B9","Cortical projection neurons 1_12","Cortical projection neurons 1_12_Brain",0.987842496751497,0.791276677205858,0.791276677205858,0.96136033820793,"Cortical projection neurons 1","Cortical projection neurons 1_12","Glutamatergic","L5 IT","CS20230722_CLAS_01","01 IT-ET Glut",1,"CS20230722_SUBC_006","006 L4/5 IT CTX Glut",1,"CS20230722_SUPT_0027","0027 L4/5 IT CTX Glut_5",0.56,"CS20230722_CLUS_0096","0096 L4/5 IT CTX Glut_5",185,0.56,"CS20230722_CLAS_22","22 MB-HB Sero",0.56,"CS20230722_SUBC_216","216 MB-MY Tph2 Glut-Sero",1,"CS20230722_SUPT_0889","0889 MB-MY Tph2 Glut-Sero_2",0.58,"CS20230722_CLUS_3891","3891 MB-MY Tph2 Glut-Sero_2",2858,0.58,"01 IT-ET Glut","006 L4/5 IT CTX Glut","24 MY Glut","261 HB Calcb Chol","9","L5 IT"
"20230125-Yang-KO-Het-F-C1-P2-C08_S32_B10","Interneurons 1_11","Interneurons 1_11_Brain",0.967244138791614,0.334637844700465,0.334637844700465,0.956429186884078,"Interneurons 1","Interneurons 1_3","GABAergic","Sst","CS20230722_CLAS_07","07 CTX-MGE GABA",1,"CS20230722_SUBC_053","053 Sst Gaba",1,"CS20230722_SUPT_0223","0223 Sst Gaba_10",0.49,"CS20230722_CLUS_0804","0804 Sst Gaba_10",522,0.49,"CS20230722_CLAS_14","14 HY Glut",0.81,"CS20230722_SUBC_135","135 STN-PSTN Pitx2 Glut",0.67,"CS20230722_SUPT_0600","0600 STN-PSTN Pitx2 Glut_3",0.84,"CS20230722_CLUS_2442","2442 STN-PSTN Pitx2 Glut_3",2217,0.84,"07 CTX-MGE GABA","053 Sst Gaba","24 MY Glut","261 HB Calcb Chol","2","Sst"
"20230125-Yang-KO-Het-F-C1-P2-C08_S32_B11","Interneurons 1_4","Interneurons 1_4_Brain",1,0.613521451985507,0.613521451985507,0.997435832511057,"Interneurons 1","Interneurons 1_3","GABAergic","Sst","CS20230722_CLAS_07","07 CTX-MGE GABA",1,"CS20230722_SUBC_052","052 Pvalb Gaba",0.72,"CS20230722_SUPT_0207","0207 Pvalb Gaba_3",1,"CS20230722_CLUS_0741","0741 Pvalb Gaba_3",600,1,"CS20230722_CLAS_18","18 TH Glut",0.57,"CS20230722_SUBC_149","149 PVT-PT Ntrk1 Glut",0.47,"CS20230722_SUPT_0644","0644 PVT-PT Ntrk1 Glut_2",0.47,"CS20230722_CLUS_2622","2622 PVT-PT Ntrk1 Glut_2",5092,0.47,"07 CTX-MGE GABA","053 Sst Gaba","24 MY Glut","261 HB Calcb Chol","2","Sst"
"20230125-Yang-KO-Het-F-C1-P2-C08_S32_B12","Cortical projection neurons 1_10","Cortical projection neurons 1_10_Brain",0.526816893714257,0.176472000271701,0.176472000271701,0.942539417624331,"Cortical projection neurons 2","Cortical projection neurons 1_3","Glutamatergic","L6 CT","CS20230722_CLAS_23","23 P Glut",0.97,"CS20230722_SUBC_220","220 PB Pax5 Glut",0.97,"CS20230722_SUPT_0905","0905 PB Pax5 Glut_2",1,"CS20230722_CLUS_3972","3972 PB Pax5 Glut_2",4289,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"02 NP-CT-L6b Glut","030 L6 CT CTX Glut","24 MY Glut","261 HB Calcb Chol","10","L6 CT"
"20230125-Yang-KO-Het-F-C1-P2-C08_S32_B13","Cortical projection neurons 1_2","Cortical projection neurons 1_2_Brain",0.835933908268978,0.67705636113172,0.67705636113172,0.979467514476352,"Cortical projection neurons 1","Cortical projection neurons 1_16","Glutamatergic","L5 IT","CS20230722_CLAS_01","01 IT-ET Glut",1,"CS20230722_SUBC_002","002 IT EP-CLA Glut",1,"CS20230722_SUPT_0003","0003 IT EP-CLA Glut_1",1,"CS20230722_CLUS_0007","0007 IT EP-CLA Glut_1",120,1,"CS20230722_CLAS_23","23 P Glut",0.8,"CS20230722_SUBC_222","222 PB Evx2 Glut",0.88,"CS20230722_SUPT_0921","0921 PB Evx2 Glut_8",0.99,"CS20230722_CLUS_4076","4076 PB Evx2 Glut_8",4284,0.99,"01 IT-ET Glut","243 PGRN-PARN-MDRN Hoxb5 Glut","24 MY Glut","261 HB Calcb Chol","0","L5 IT"
"20230125-Yang-KO-Het-F-C1-P2-C08_S32_B14","Interbrain and midbrain neurons 2_12","Interbrain and midbrain neurons 2_12_Brain",0.541536139396994,0.244463382332921,0.244463382332921,0.727413560519428,"Cortical projection neurons 1","Cortical projection neurons 1_12","Glutamatergic","L5 IT","CS20230722_CLAS_24","24 MY Glut",0.81,"CS20230722_SUBC_243","243 PGRN-PARN-MDRN Hoxb5 Glut",1,"CS20230722_SUPT_0974","0974 PGRN-PARN-MDRN Hoxb5 Glut_2",1,"CS20230722_CLUS_4347","4347 PGRN-PARN-MDRN Hoxb5 Glut_2",24414,1,"CS20230722_CLAS_24","24 MY Glut",0.99,"CS20230722_SUBC_261","261 HB Calcb Chol",1,"CS20230722_SUPT_1027","1027 HB Calcb Chol_3",0.85,"CS20230722_CLUS_4603","4603 HB Calcb Chol_3",8956,0.85,"01 IT-ET Glut","006 L4/5 IT CTX Glut","24 MY Glut","261 HB Calcb Chol","9","L5 IT"
"20230125-Yang-KO-Het-F-C1-P2-C08_S32_B15","Striatal neurons 1_5","Striatal neurons 1_5_Brain",0.593992391706127,0.202474432289417,0.202474432289417,0.90733511334466,"Striatal neurons 1","Striatal neurons 1_13","GABAergic","L5 ET","CS20230722_CLAS_24","24 MY Glut",0.48,"CS20230722_SUBC_243","243 PGRN-PARN-MDRN Hoxb5 Glut",1,"CS20230722_SUPT_0974","0974 PGRN-PARN-MDRN Hoxb5 Glut_2",1,"CS20230722_CLUS_4347","4347 PGRN-PARN-MDRN Hoxb5 Glut_2",24414,1,"CS20230722_CLAS_14","14 HY Glut",0.51,"CS20230722_SUBC_123","123 DMH Nkx2-4 Glut",0.63,"CS20230722_SUPT_0545","0545 DMH Nkx2-4 Glut_2",0.84,"CS20230722_CLUS_2227","2227 DMH Nkx2-4 Glut_2",2108,0.84,"09 CNU-LGE GABA","243 PGRN-PARN-MDRN Hoxb5 Glut","24 MY Glut","261 HB Calcb Chol","7","L5 ET"
"20230125-Yang-KO-Het-F-C1-P2-C08_S32_B16","Cortical projection neurons 3_2","Cortical projection neurons 3_2_Brain",0.654687505636772,0.121401046636158,0.121401046636158,0.589948949120019,"Cortical projection neurons 1","Cortical projection neurons 1_16","Glutamatergic","L5 IT","CS20230722_CLAS_01","01 IT-ET Glut",0.65,"CS20230722_SUBC_012","012 MEA Slc17a7 Glut",0.49,"CS20230722_SUPT_0056","0056 MEA Slc17a7 Glut_2",0.52,"CS20230722_CLUS_0208","0208 MEA Slc17a7 Glut_2",259,0.52,"CS20230722_CLAS_14","14 HY Glut",0.75,"CS20230722_SUBC_126","126 ARH-PVp Tbx3 Glut",1,"CS20230722_SUPT_0554","0554 ARH-PVp Tbx3 Glut_1",1,"CS20230722_CLUS_2276","2276 ARH-PVp Tbx3 Glut_1",1974,1,"01 IT-ET Glut","243 PGRN-PARN-MDRN Hoxb5 Glut","24 MY Glut","261 HB Calcb Chol","0","L5 IT"
"20230125-Yang-KO-Het-F-C1-P2-C08_S32_B17","Interbrain and midbrain neurons 1_15","Interbrain and midbrain neurons 1_15_Brain",0.451153756621903,0.356871679036794,0.356871679036794,0.714177960456821,"Striatal neurons 1","Striatal neurons 1_13","GABAergic","L5 ET","CS20230722_CLAS_03","03 OB-CR Glut",0.98,"CS20230722_SUBC_036","036 HPF CR Glut",1,"CS20230722_SUPT_0135","0135 HPF CR Glut_1",1,"CS20230722_CLUS_0497","0497 HPF CR Glut_1",2762,1,"CS20230722_CLAS_21","21 MB Dopa",0.31,"CS20230722_SUBC_215","215 SNc-VTA-RAmb Foxa1 Dopa",1,"CS20230722_SUPT_0883","0883 SNc-VTA-RAmb Foxa1 Dopa_4",0.72,"CS20230722_CLUS_3865","3865 SNc-VTA-RAmb Foxa1 Dopa_4",2403,0.72,"09 CNU-LGE GABA","243 PGRN-PARN-MDRN Hoxb5 Glut","24 MY Glut","261 HB Calcb Chol","7","L5 ET"
"20230125-Yang-KO-Het-F-C1-P2-C08_S32_B18","Interbrain and midbrain neurons 1_7","Interbrain and midbrain neurons 1_7_Brain",0.512026658906178,0.127692641715147,0.127692641715147,0.94462762991209,"Striatal neurons 1","Striatal neurons 1_13","GABAergic","L5 ET","CS20230722_CLAS_19","19 MB Glut",0.53,"CS20230722_SUBC_176","176 SCig Foxb1 Glut",0.55,"CS20230722_SUPT_0760","0760 SCig Foxb1 Glut_1",0.51,"CS20230722_CLUS_3215","3215 SCig Foxb1 Glut_1",4948,0.51,"CS20230722_CLAS_24","24 MY Glut",0.84,"CS20230722_SUBC_261","261 HB Calcb Chol",1,"CS20230722_SUPT_1027","1027 HB Calcb Chol_3",0.93,"CS20230722_CLUS_4603","4603 HB Calcb Chol_3",8956,0.93,"09 CNU-LGE GABA","243 PGRN-PARN-MDRN Hoxb5 Glut","24 MY Glut","261 HB Calcb Chol","7","L5 ET"
"20230125-Yang-KO-Het-F-C1-P2-C08_S32_B19","Cortical projection neurons 1_3","Cortical projection neurons 1_3_Brain",0.603392418053155,0.300644896486124,0.300644896486124,0.894227737410871,"Cortical projection neurons 2","Cortical projection neurons 1_3","Glutamatergic","L6 CT","CS20230722_CLAS_02","02 NP-CT-L6b Glut",1,"CS20230722_SUBC_030","030 L6 CT CTX Glut",1,"CS20230722_SUPT_0115","0115 L6 CT CTX Glut_2",1,"CS20230722_CLUS_0441","0441 L6 CT CTX Glut_2",57,1,"CS20230722_CLAS_24","24 MY Glut",0.39,"CS20230722_SUBC_252","252 DMX VII Tbx20 Chol",0.47,"CS20230722_SUPT_1010","1010 DMX VII Tbx20 Chol_1",0.73,"CS20230722_CLUS_4552","4552 DMX VII Tbx20 Chol_1",3894,0.73,"02 NP-CT-L6b Glut","030 L6 CT CTX Glut","24 MY Glut","261 HB Calcb Chol","10","L6 CT"
"20230125-Yang-KO-Het-F-C1-P2-C08_S32_B21","Interneurons 1_5","Interneurons 1_5_Brain",0.887202285197263,0.152970076034756,0.152970076034756,0.879344832421218,"Interneurons 1","Interneurons 1_3","GABAergic","Sst","CS20230722_CLAS_14","14 HY Glut",0.42,"CS20230722_SUBC_141","141 PH-SUM Foxa1 Glut",1,"CS20230722_SUPT_0623","0623 PH-SUM Foxa1 Glut_2",0.99,"CS20230722_CLUS_2542","2542 PH-SUM Foxa1 Glut_2",2365,0.99,"CS20230722_CLAS_14","14 HY Glut",0.6,"CS20230722_SUBC_136","136 PMv-TMv Pitx2 Glut",0.96,"CS20230722_SUPT_0605","0605 PMv-TMv Pitx2 Glut_1",0.91,"CS20230722_CLUS_2460","2460 PMv-TMv Pitx2 Glut_1",2187,0.91,"07 CTX-MGE GABA","053 Sst Gaba","24 MY Glut","261 HB Calcb Chol","2","Sst"
"20230125-Yang-KO-Het-F-C1-P2-C08_S32_B22","Astrocytes_14","Astrocytes_14_Brain",0.939120580116526,0.406569534988402,0.406569534988402,0.919640381480989,"Astrocytes","Astrocytes_14","Non-Neuronal","Astro","CS20230722_CLAS_30","30 Astro-Epen",0.96,"CS20230722_SUBC_319","319 Astro-TE NN",0.72,"CS20230722_SUPT_1163","1163 Astro-TE NN_3",1,"CS20230722_CLUS_5227","5227 Astro-TE NN_3",14947,1,"CS20230722_CLAS_01","01 IT-ET Glut",0.53,"CS20230722_SUBC_012","012 MEA Slc17a7 Glut",0.78,"CS20230722_SUPT_0055","0055 MEA Slc17a7 Glut_1",0.36,"CS20230722_CLUS_0197","0197 MEA Slc17a7 Glut_1",459,0.36,"30 Astro-Epen","319 Astro-TE NN","24 MY Glut","261 HB Calcb Chol","5","Astro"
"20230125-Yang-KO-Het-F-C1-P2-C08_S32_B23","Astrocytes_14","Astrocytes_14_Brain",0.957870471553042,0.435970500585144,0.435970500585144,0.986360218898102,"Astrocytes","Astrocytes_14","Non-Neuronal","Astro","CS20230722_CLAS_30","30 Astro-Epen",1,"CS20230722_SUBC_320","320 Astro-OLF NN",0.66,"CS20230722_SUPT_1166","1166 Astro-OLF NN_1",1,"CS20230722_CLUS_5231","5231 Astro-OLF NN_1",14951,1,"CS20230722_CLAS_12","12 HY GABA",0.33,"CS20230722_SUBC_106","106 PVpo-VMPO-MPN Hmx2 Gaba",0.27,"CS20230722_SUPT_0483","0483 PVpo-VMPO-MPN Hmx2 Gaba_2",0.95,"CS20230722_CLUS_1890","1890 PVpo-VMPO-MPN Hmx2 Gaba_2",1853,0.95,"30 Astro-Epen","319 Astro-TE NN","24 MY Glut","261 HB Calcb Chol","5","Astro"
"20230125-Yang-KO-Het-F-C1-P2-C08_S32_B24","Oligodendrocyte progenitor cells_1","Oligodendrocyte progenitor cells_1_Brain",1,0.335577582354285,0.335577582354285,0.992907107895153,"Oligodendrocyte progenitor cells","Oligodendrocyte progenitor cells_9","Non-Neuronal","OPC","CS20230722_CLAS_31","31 OPC-Oligo",1,"CS20230722_SUBC_326","326 OPC NN",1,"CS20230722_SUPT_1179","1179 OPC NN_1",0.87,"CS20230722_CLUS_5269","5269 OPC NN_1",5203,0.87,"CS20230722_CLAS_23","23 P Glut",0.81,"CS20230722_SUBC_219","219 PB-SUT Tlx3 Lhx2 Glut",0.81,"CS20230722_SUPT_0903","0903 PB-SUT Tlx3 Lhx2 Glut_1",0.87,"CS20230722_CLUS_3964","3964 PB-SUT Tlx3 Lhx2 Glut_1",4838,0.87,"31 OPC-Oligo","326 OPC NN","24 MY Glut","261 HB Calcb Chol","15","OPC"
"20230125-Yang-KO-Het-F-C1-P2-C08_S32_C1","Interbrain and midbrain neurons 2_12","Interbrain and midbrain neurons 2_12_Brain",0.635083685159661,0.278601488828032,0.278601488828032,0.838641998433018,"Cortical projection neurons 1","Cortical projection neurons 1_21","Glutamatergic","L5 ET","CS20230722_CLAS_19","19 MB Glut",0.4,"CS20230722_SUBC_159","159 IF-RL-CLI-PAG Foxa1 Glut",0.48,"CS20230722_SUPT_0686","0686 IF-RL-CLI-PAG Foxa1 Glut_2",0.63,"CS20230722_CLUS_2772","2772 IF-RL-CLI-PAG Foxa1 Glut_2",2344,0.63,"CS20230722_CLAS_11","11 CNU-HYa GABA",0.29,"CS20230722_SUBC_085","085 SI-MPO-LPO Lhx8 Gaba",0.82,"CS20230722_SUPT_0396","0396 SI-MPO-LPO Lhx8 Gaba_1",0.91,"CS20230722_CLUS_1421","1421 SI-MPO-LPO Lhx8 Gaba_1",782,0.91,"01 IT-ET Glut","019 L2/3 IT PPP Glut","24 MY Glut","261 HB Calcb Chol","6","L5 ET"
"20230125-Yang-KO-Het-F-C1-P2-C08_S32_C2","Cortical projection neurons 1_12","Cortical projection neurons 1_12_Brain",0.953409156920362,0.201944115495533,0.201944115495533,0.867041052640399,"Cortical projection neurons 1","Cortical projection neurons 1_16","Glutamatergic","L5 IT","CS20230722_CLAS_01","01 IT-ET Glut",1,"CS20230722_SUBC_014","014 LA-BLA-BMA-PA Glut",0.7,"CS20230722_SUPT_0062","0062 LA-BLA-BMA-PA Glut_3",1,"CS20230722_CLUS_0237","0237 LA-BLA-BMA-PA Glut_3",474,1,"CS20230722_CLAS_22","22 MB-HB Sero",0.6,"CS20230722_SUBC_216","216 MB-MY Tph2 Glut-Sero",1,"CS20230722_SUPT_0889","0889 MB-MY Tph2 Glut-Sero_2",0.73,"CS20230722_CLUS_3891","3891 MB-MY Tph2 Glut-Sero_2",2858,0.73,"01 IT-ET Glut","243 PGRN-PARN-MDRN Hoxb5 Glut","24 MY Glut","261 HB Calcb Chol","0","L5 IT"
"20230125-Yang-KO-Het-F-C1-P2-C08_S32_C3","Interneurons 2_3","Interneurons 2_3_Brain",0.494832977540893,0.171732847766806,0.171732847766806,0.80199229981495,"Interneurons 2","OB neurons 1_11","GABAergic","L5 ET","CS20230722_CLAS_06","06 CTX-CGE GABA",0.99,"CS20230722_SUBC_049","049 Lamp5 Gaba",1,"CS20230722_SUPT_0200","0200 Lamp5 Gaba_2",0.72,"CS20230722_CLUS_0718","0718 Lamp5 Gaba_2",714,0.72,"CS20230722_CLAS_24","24 MY Glut",0.98,"CS20230722_SUBC_243","243 PGRN-PARN-MDRN Hoxb5 Glut",0.78,"CS20230722_SUPT_0974","0974 PGRN-PARN-MDRN Hoxb5 Glut_2",1,"CS20230722_CLUS_4347","4347 PGRN-PARN-MDRN Hoxb5 Glut_2",24414,1,"06 CTX-CGE GABA","243 PGRN-PARN-MDRN Hoxb5 Glut","24 MY Glut","261 HB Calcb Chol","3","L5 ET"
"20230125-Yang-KO-Het-F-C1-P2-C08_S32_C4","Interbrain and midbrain neurons 2_12","Interbrain and midbrain neurons 2_12_Brain",0.49606323569925,0.153615892336447,0.153615892336447,0.957499914349645,"Cortical projection neurons 1","Cortical projection neurons 1_16","Glutamatergic","L5 IT","CS20230722_CLAS_20","20 MB GABA",0.82,"CS20230722_SUBC_213","213 SCsg Gabrr2 Gaba",0.9,"CS20230722_SUPT_0872","0872 SCsg Gabrr2 Gaba_1",1,"CS20230722_CLUS_3806","3806 SCsg Gabrr2 Gaba_1",3595,1,"CS20230722_CLAS_28","28 CB GABA",0.55,"CS20230722_SUBC_310","310 CBX Golgi Gly-Gaba",0.84,"CS20230722_SUPT_1148","1148 CBX Golgi Gly-Gaba_1",1,"CS20230722_CLUS_5186","5186 CBX Golgi Gly-Gaba_1",4157,1,"01 IT-ET Glut","243 PGRN-PARN-MDRN Hoxb5 Glut","24 MY Glut","261 HB Calcb Chol","0","L5 IT"
"20230125-Yang-KO-Het-F-C1-P2-C08_S32_C5","Cortical projection neurons 1_21","Cortical projection neurons 1_21_Brain",0.644603018269011,0.20809209677062,0.20809209677062,0.837483912269524,"Cortical projection neurons 1","Cortical projection neurons 1_16","Glutamatergic","L5 IT","CS20230722_CLAS_24","24 MY Glut",0.49,"CS20230722_SUBC_243","243 PGRN-PARN-MDRN Hoxb5 Glut",1,"CS20230722_SUPT_0974","0974 PGRN-PARN-MDRN Hoxb5 Glut_2",1,"CS20230722_CLUS_4347","4347 PGRN-PARN-MDRN Hoxb5 Glut_2",24414,1,"CS20230722_CLAS_24","24 MY Glut",0.33,"CS20230722_SUBC_243","243 PGRN-PARN-MDRN Hoxb5 Glut",0.53,"CS20230722_SUPT_0974","0974 PGRN-PARN-MDRN Hoxb5 Glut_2",0.97,"CS20230722_CLUS_4347","4347 PGRN-PARN-MDRN Hoxb5 Glut_2",24414,0.97,"01 IT-ET Glut","243 PGRN-PARN-MDRN Hoxb5 Glut","24 MY Glut","261 HB Calcb Chol","0","L5 IT"
"20230125-Yang-KO-Het-F-C1-P2-C08_S32_C6","Cortical projection neurons 1_14","Cortical projection neurons 1_14_Brain",0.848802624201864,0.283150472228749,0.283150472228749,0.751643396726597,"Cortical projection neurons 1","Cortical projection neurons 1_16","Glutamatergic","L5 IT","CS20230722_CLAS_13","13 CNU-HYa Glut",0.5,"CS20230722_SUBC_122","122 LHA-MEA Otp Glut",0.4,"CS20230722_SUPT_0542","0542 LHA-MEA Otp Glut_1",0.81,"CS20230722_CLUS_2220","2220 LHA-MEA Otp Glut_1",2481,0.81,"CS20230722_CLAS_01","01 IT-ET Glut",0.74,"CS20230722_SUBC_015","015 ENTmv-PA-COAp Glut",0.69,"CS20230722_SUPT_0068","0068 ENTmv-PA-COAp Glut_3",0.98,"CS20230722_CLUS_0259","0259 ENTmv-PA-COAp Glut_3",321,0.98,"01 IT-ET Glut","243 PGRN-PARN-MDRN Hoxb5 Glut","24 MY Glut","261 HB Calcb Chol","0","L5 IT"
"20230125-Yang-KO-Het-F-C1-P2-C08_S32_C7","Cortical projection neurons 1_10","Cortical projection neurons 1_10_Brain",0.830497870853537,0.169274982154891,0.169274982154891,0.851421911026589,"Cortical projection neurons 1","Cortical projection neurons 1_16","Glutamatergic","L5 IT","CS20230722_CLAS_01","01 IT-ET Glut",1,"CS20230722_SUBC_022","022 L5 ET CTX Glut",1,"CS20230722_SUPT_0091","0091 L5 ET CTX Glut_2",0.87,"CS20230722_CLUS_0361","0361 L5 ET CTX Glut_2",389,0.87,"CS20230722_CLAS_13","13 CNU-HYa Glut",0.99,"CS20230722_SUBC_113","113 MEA-COA-BMA Ccdc42 Glut",0.6,"CS20230722_SUPT_0505","0505 MEA-COA-BMA Ccdc42 Glut_1",0.6,"CS20230722_CLUS_1999","1999 MEA-COA-BMA Ccdc42 Glut_1",2546,0.6,"01 IT-ET Glut","243 PGRN-PARN-MDRN Hoxb5 Glut","24 MY Glut","261 HB Calcb Chol","0","L5 IT"
"20230125-Yang-KO-Het-F-C1-P2-C08_S32_C8","Cortical projection neurons 1_10","Cortical projection neurons 1_10_Brain",0.484959799224098,0.23197178408179,0.23197178408179,0.840825096135155,"Cortical projection neurons 2","Cortical projection neurons 1_3","Glutamatergic","L6 CT","CS20230722_CLAS_02","02 NP-CT-L6b Glut",1,"CS20230722_SUBC_030","030 L6 CT CTX Glut",1,"CS20230722_SUPT_0115","0115 L6 CT CTX Glut_2",1,"CS20230722_CLUS_0441","0441 L6 CT CTX Glut_2",57,1,"CS20230722_CLAS_24","24 MY Glut",0.35,"CS20230722_SUBC_243","243 PGRN-PARN-MDRN Hoxb5 Glut",0.51,"CS20230722_SUPT_0974","0974 PGRN-PARN-MDRN Hoxb5 Glut_2",1,"CS20230722_CLUS_4347","4347 PGRN-PARN-MDRN Hoxb5 Glut_2",24414,1,"02 NP-CT-L6b Glut","030 L6 CT CTX Glut","24 MY Glut","261 HB Calcb Chol","10","L6 CT"
"20230125-Yang-KO-Het-F-C1-P2-C08_S32_C9","Interbrain and midbrain neurons 2_12","Interbrain and midbrain neurons 2_12_Brain",0.694040034505033,0.177275694655407,0.177275694655407,0.663578151738983,"Cortical projection neurons 1","Cortical projection neurons 1_16","Glutamatergic","L5 IT","CS20230722_CLAS_26","26 P GABA",0.48,"CS20230722_SUBC_278","278 NLL Gata3 Gly-Gaba",0.47,"CS20230722_SUPT_1074","1074 NLL Gata3 Gly-Gaba_1",1,"CS20230722_CLUS_4804","4804 NLL Gata3 Gly-Gaba_1",8861,1,"CS20230722_CLAS_24","24 MY Glut",0.63,"CS20230722_SUBC_245","245 SPVI-SPVC Tlx3 Ebf3 Glut",0.69,"CS20230722_SUPT_0982","0982 SPVI-SPVC Tlx3 Ebf3 Glut_2",0.86,"CS20230722_CLUS_4417","4417 SPVI-SPVC Tlx3 Ebf3 Glut_2",4256,0.86,"01 IT-ET Glut","243 PGRN-PARN-MDRN Hoxb5 Glut","24 MY Glut","261 HB Calcb Chol","0","L5 IT"
